image,contrast_0,dissimilarity_0,homogeneity_0,energy_0,correlation_0,contrast_1,dissimilarity_1,homogeneity_1,energy_1,correlation_1,contrast_2,dissimilarity_2,homogeneity_2,energy_2,correlation_2,contrast_3,dissimilarity_3,homogeneity_3,energy_3,correlation_3,label
shape 724 .jpg,803.0123492864174,913.0,1024.015748031496,115.0,3.149068036417323,3.5803921568627453,4.015748031496063,0.45098039215686275,0.9876509034957337,0.9859594623688986,0.9842522106844723,0.9982314766401131,0.8568461167724842,0.8554200359278551,0.853989241141399,0.8624509411417581,0.9513075222527994,0.9448111682895037,0.9382919796635986,0.993048504220474,1
shape 165 .jpg,329.00505967027556,675.0,1024.015748031496,345.0,1.2902159202755905,2.6470588235294117,4.015748031496063,1.3529411764705883,0.9949404075343666,0.9896195368006643,0.9842522106844724,0.9946944299203396,0.8686933259098637,0.8652266712259751,0.8617434789815903,0.8681086086284916,0.9789476747807548,0.956946516780277,0.9348980891610513,0.9779948863543637,1
shape 1117 .jpg,816.0125492125984,862.0,907.0139486958661,67.0,3.2000492125984255,3.380392156862745,3.5569174458661417,0.2627450980392157,0.987450980389189,0.9867437640328484,0.9860515186433755,0.9989696429120658,0.7832931414330097,0.7826979928931532,0.7821026493806368,0.7903542451407867,0.9664513489436022,0.9645836803731281,0.9627599133513096,0.9972472801224349,1
shape 1203 .jpg,461.00708968996065,741.0,1024.015748031496,279.0,1.80787093996063,2.9058823529411764,4.015748031496063,1.0941176470588236,0.9929104190679119,0.9886045581767293,0.9842522106844724,0.9957094085442746,0.8637346648461052,0.8608167045168742,0.8578748993836083,0.8648693011426934,0.9712878513170379,0.953999635750166,0.9366405478472316,0.9826800247966212,1
shape 199 .jpg,936.0143946850394,40.0,932.0143331692914,934.0,3.6706446850393704,0.1568627450980392,3.654958169291339,3.6627450980392156,0.9856055363287756,0.9993848614400394,0.9856670511307893,0.9856365146249193,0.8600006985329623,0.8678451174836279,0.8600609155557319,0.8600200229950106,0.94153524292223,0.9975017349063153,0.94177472754092,0.9416603182736023,1
shape 352 .jpg,746.0114726870079,131.0,1011.015548105315,878.0,2.925535187007874,0.5137254901960784,3.9647668553149606,3.443137254901961,0.9885274894244301,0.9979854212161289,0.9844521337910173,0.9864977086088641,0.851201035206447,0.8562287350539877,0.8480046703703737,0.8496049450246479,0.956561894784717,0.9923937323197071,0.9414564169801222,0.9490185576184671,1
shape 646 .jpg,1024.015748031496,592.0,164.00252214566927,428.0,4.015748031496063,2.32156862745098,0.6431471456692913,1.6784313725490196,0.9842522106844724,0.9908959493125826,0.9974778931174351,0.9934180174084213,0.8205099658299762,0.8250127704751613,0.8295042660730211,0.8265159501595696,0.9494060873582177,0.9706631208337757,0.9918484501600865,0.978790229251446,1
shape 951 .jpg,617.0094888041339,201.0,1024.015748031496,819.0,2.4196450541338583,0.7882352941176471,4.015748031496063,3.211764705882353,0.9905113417893745,0.9969089287361979,0.9842522106844724,0.987405037984806,0.8778225297829149,0.8810104779629886,0.873531591170276,0.8756851650585366,0.9568747253474814,0.9859964973771239,0.9288843402298641,0.9429409519993265,1
shape 505 .jpg,1024.015748031496,862.0,702.0107960137796,162.0,4.015748031496063,3.380392156862745,2.7529835137795273,0.6352941176470588,0.9842522106844724,0.9867437640328484,0.9892041522465816,0.9975086888321595,0.8802511186283941,0.8819848737492163,0.883702241168893,0.8879712165929333,0.9248870245034378,0.9365787268189208,0.9481934463314448,0.9880809208174772,1
shape 1025 .jpg,508.0078125,723.0,939.0144408218504,214.0,1.9921875,2.835294117647059,3.682409571850394,0.8392156862745098,0.9921876201442501,0.9888813705287116,0.9855594002272652,0.9967090087042105,0.7547127585430575,0.7521980232803638,0.749679674802163,0.7573049590843867,0.9815157526342851,0.973727025836122,0.9659212116173973,0.9922236011041677,1
